record_date,department,student_type,date,time_in,time_out
2019/11/25 4:28:12 PM MST,sociology,Graduate student,9/25/2019,12:20,14:10
2019/11/25 4:29:00 PM MST,global,Graduate student,9/25/2019,12:35,
2019/11/25 4:28:39 PM MST,sociology,Undergraduate student,9/26/2019,15:42,16:42
2019/11/25 4:29:26 PM MST,bren / environmental studies,Undergraduate student,9/27/2019,13:59,14:03
2019/11/25 4:29:57 PM MST,psychology,Undergraduate student,9/28/2019,13:24,
2019/11/25 4:30:25 PM MST,sociology,Undergraduate student,9/28/2019,15:04,
2019/11/25 4:30:56 PM MST,film & media,Undergraduate student,9/29/2019,18:32,19:09
2019/11/25 4:31:24 PM MST,bren / environmental studies,Undergraduate student,9/30/2019,14:56,18:20
2019/11/25 4:32:06 PM MST,film & media,Undergraduate student,9/30/2019,19:00,19:50
2019/11/25 1:44:29 PM MST,bren / environmental studies,Undergraduate student,10/1/2019,16:01,18:07
2019/11/25 1:44:57 PM MST,math,Undergraduate student,10/1/2019,18:02,19:10
2019/11/25 4:32:35 PM MST,geog,Undergraduate student,10/1/2019,12:20,13:54
2019/11/25 4:33:05 PM MST,econ,Undergraduate student,10/1/2019,13:30,15:30
2019/11/25 4:33:23 PM MST,bren / environmental studies,Undergraduate student,10/1/2019,14:00,
2019/11/25 4:33:49 PM MST,computer science,Undergraduate student,10/1/2019,16:09,
2019/11/25 1:45:18 PM MST,geog,Undergraduate student,10/2/2019,12:15,13:39
2019/11/25 1:45:40 PM MST,geog,Undergraduate student,10/2/2019,14:11,
2019/11/25 1:45:56 PM MST,pstat / stats / actuarial,Undergraduate student,10/2/2019,14:41,
2019/11/25 1:46:18 PM MST,film & media,Undergraduate student,10/2/2019,15:00,17:00
2019/11/25 1:47:04 PM MST,pstat / stats / actuarial,Undergraduate student,10/2/2019,15:00,
2019/11/25 1:47:35 PM MST,pstat / stats / actuarial,Undergraduate student,10/2/2019,15:00,15:21
2019/11/25 1:47:56 PM MST,physics,Undergraduate student,10/2/2019,15:05,15:20
2019/11/25 1:48:22 PM MST,pstat / stats / actuarial,Undergraduate student,10/2/2019,15:18,17:38
2019/11/25 1:48:48 PM MST,bren / environmental studies,Undergraduate student,10/2/2019,16:02,16:45
2019/11/25 1:53:21 PM MST,computer science,Undergraduate student,10/2/2019,15:50,
2019/11/25 1:53:44 PM MST,ece,Undergraduate student,10/2/2019,15:50,16:40
2019/11/25 1:56:32 PM MST,N/A,Undergraduate student,10/2/2019,16:12,
2019/11/25 1:56:53 PM MST,N/A,Undergraduate student,10/2/2019,16:14,
2019/11/25 1:57:15 PM MST,bren / environmental studies,Undergraduate student,10/2/2019,18:02,19:58
2019/11/25 1:57:36 PM MST,pstat / stats / actuarial,Undergraduate student,10/3/2019,12:03,12:14
2019/11/25 1:57:56 PM MST,N/A,Undergraduate student,10/3/2019,16:46,
2019/11/25 1:58:22 PM MST,N/A,Undergraduate student,10/3/2019,18:30,
2019/11/25 1:59:05 PM MST,pstat / stats / actuarial,Undergraduate student,10/3/2019,19:00,
2019/11/25 2:00:18 PM MST,pstat / stats / actuarial,Graduate student,10/3/2019,10:04,11:00
2019/11/25 2:00:54 PM MST,pstat / stats / actuarial,Graduate student,10/3/2019,10:00,11:00
2019/11/25 2:01:52 PM MST,pstat / stats / actuarial,Undergraduate student,10/3/2019,10:37,11:00
2019/11/25 1:59:29 PM MST,computer science,Undergraduate student,10/4/2019,9:00,10:45
2019/11/25 2:15:55 PM MST,pstat / stats / actuarial,Undergraduate student,10/4/2019,13:29,
2019/11/25 2:16:21 PM MST,ece,Undergraduate student,10/4/2019,14:05,16:05
2019/11/25 2:16:50 PM MST,communication,Undergraduate student,10/4/2019,14:10,15:50
2019/11/25 2:17:09 PM MST,global,Undergraduate student,10/4/2019,14:12,
2019/11/25 2:17:36 PM MST,econ,Undergraduate student,10/4/2019,14:52,15:50
2019/11/25 2:18:08 PM MST,geog,Undergraduate student,10/4/2019,15:00,16:05
2019/11/25 2:18:45 PM MST,sociology,Undergraduate student,10/5/2019,14:17,16:57
2019/11/25 2:19:14 PM MST,econ,Undergraduate student,10/6/2019,12:15,12:54
2019/11/25 2:19:44 PM MST,econ,Undergraduate student,10/6/2019,14:45,16:58
2019/11/25 2:40:02 PM MST,econ,Undergraduate student,10/6/2019,14:48,
2019/11/25 2:40:33 PM MST,econ,Graduate student,10/6/2019,15:00,16:15
2019/11/25 2:40:58 PM MST,pstat / stats / actuarial,Undergraduate student,10/6/2019,15:00,17:10
2019/11/25 2:41:26 PM MST,feminist studies,Undergraduate student,10/6/2019,16:00,18:00
2019/11/25 2:41:54 PM MST,econ,Undergraduate student,10/6/2019,16:40,16:58
2019/11/25 2:42:27 PM MST,computer science,Undergraduate student,10/6/2019,16:50,19:15
2019/11/25 2:43:00 PM MST,geog,Undergraduate student,10/6/2019,18:13,19:34
2019/11/25 2:43:28 PM MST,engineering,Undergraduate student,10/6/2019,18:23,19:22
2019/11/25 2:44:02 PM MST,econ,Undergraduate student,10/6/2019,18:23,19:22
2019/11/25 1:49:11 PM MST,bren / environmental studies,Undergraduate student,10/7/2019,15:40,16:40
2019/11/25 1:49:37 PM MST,econ,Undergraduate student,10/7/2019,16:40,17:40
2019/11/25 1:49:55 PM MST,computer science,Undergraduate student,10/7/2019,16:50,19:10
2019/11/25 1:50:22 PM MST,computer science,Undergraduate student,10/7/2019,17:50,
2019/11/25 1:50:42 PM MST,pstat / stats / actuarial,Undergraduate student,10/7/2019,17:10,
2019/11/25 1:51:10 PM MST,pstat / stats / actuarial,Undergraduate student,10/7/2019,18:08,19:34
2019/11/25 2:44:37 PM MST,global,Undergraduate student,10/7/2019,12:25,13:51
2019/11/25 2:45:08 PM MST,geog,Undergraduate student,10/7/2019,12:56,12:57
2019/11/25 2:45:33 PM MST,computer science,Undergraduate student,10/7/2019,13:18,17:15
2019/11/25 4:10:09 PM MST,english,Undergraduate student,10/7/2019,13:20,13:53
2019/11/25 4:10:34 PM MST,computer science,Undergraduate student,10/7/2019,13:20,
2019/11/25 4:10:59 PM MST,econ,Undergraduate student,10/7/2019,14:06,15:05
2019/11/25 4:11:27 PM MST,econ,Undergraduate student,10/7/2019,14:06,15:05
2019/11/25 4:11:54 PM MST,math,Undergraduate student,10/7/2019,14:14,
2019/11/25 4:12:22 PM MST,econ,Undergraduate student,10/7/2019,14:45,16:05
2019/11/25 4:12:53 PM MST,pstat / stats / actuarial,Undergraduate student,10/7/2019,14:56,15:46
2019/11/25 4:13:24 PM MST,pstat / stats / actuarial,Undergraduate student,10/7/2019,14:57,
2019/11/25 4:13:49 PM MST,chicano studies,Undergraduate student,10/7/2019,14:50,17:50
2019/11/25 4:14:11 PM MST,econ,Undergraduate student,10/7/2019,15:17,15:32
2019/11/25 1:51:34 PM MST,geog,Undergraduate student,10/8/2019,12:20,13:40
2019/11/25 1:52:10 PM MST,N/A,Undergraduate student,10/8/2019,12:40,14:30
2019/11/25 1:52:32 PM MST,physics,Undergraduate student,10/8/2019,12:41,14:30
2019/11/25 1:52:51 PM MST,computer science,Undergraduate student,10/8/2019,12:41,20:00
2019/11/25 2:02:13 PM MST,pstat / stats / actuarial,Undergraduate student,10/8/2019,15:09,
2020/02/27 8:29:20 PM MST,poli sci,Graduate student,10/8/2019,15:00,18:15
2020/02/27 8:29:42 PM MST,econ,Undergraduate student,10/8/2019,15:30,
2020/02/27 8:29:56 PM MST,econ,Undergraduate student,10/8/2019,15:48,
2020/02/27 8:30:23 PM MST,computer science,Undergraduate student,10/8/2019,17:21,17:50
2020/02/27 8:30:37 PM MST,engineering,Undergraduate student,10/8/2019,18:15,
2020/02/27 8:30:55 PM MST,engineering,Undergraduate student,10/8/2019,18:35,
2020/02/27 8:31:18 PM MST,econ,Undergraduate student,10/9/2019,12:05,13:20
2020/02/27 8:31:49 PM MST,computer science,Undergraduate student,10/9/2019,12:05,
2020/02/27 8:32:18 PM MST,biology/eemb/mcdb,Undergraduate student,10/9/2019,12:05,
2020/02/27 8:32:32 PM MST,sociology,Undergraduate student,10/9/2019,12:05,
2020/02/27 8:32:53 PM MST,econ,Undergraduate student,10/9/2019,12:15,13:20
2020/02/27 8:33:16 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,12:15,16:45
2020/02/27 8:33:50 PM MST,computer science,Graduate student,10/9/2019,12:15,17:05
2020/02/27 8:34:08 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,12:18,14:50
2020/02/27 8:34:56 PM MST,math,Undergraduate student,10/9/2019,13:07,
2020/02/27 8:35:13 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,13:48,18:45
2020/02/27 8:36:00 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,14:00,17:30
2020/02/27 8:36:15 PM MST,econ,Graduate student,10/9/2019,13:50,16:42
2020/02/27 8:36:28 PM MST,econ,Undergraduate student,10/9/2019,14:45,
2020/02/27 8:36:50 PM MST,geog,Undergraduate student,10/9/2019,14:40,
2020/02/27 8:37:05 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,14:40,
2020/02/27 8:37:17 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:00,18:00
2020/02/27 8:37:43 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,12:45,14:40
2020/02/27 8:37:55 PM MST,math,Undergraduate student,10/9/2019,12:47,14:40
2020/02/27 8:38:09 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,14:45,17:43
2020/02/27 8:38:23 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,12:47,
2020/02/27 8:38:47 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,14:47,15:48
2020/02/27 8:39:03 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:00,
2020/02/27 8:39:14 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:00,
2020/02/27 8:39:30 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:05,17:00
2020/02/27 8:39:56 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:05,17:55
2020/02/27 8:40:10 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:05,
2020/02/27 8:40:26 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:15,15:45
2020/02/27 8:40:35 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,15:15,
2020/02/27 8:41:05 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,16:20,16:57
2020/02/27 8:41:27 PM MST,pstat / stats / actuarial,Graduate student,10/9/2019,16:40,17:00
2020/02/27 8:41:44 PM MST,computer science,Undergraduate student,10/9/2019,18:30,20:00
2020/02/27 8:41:58 PM MST,econ,Undergraduate student,10/9/2019,19:05,19:50
2020/03/05 1:11:07 PM MST,pstat / stats / actuarial,Undergraduate student,10/9/2019,16:10,
2020/02/27 8:34:35 PM MST,econ,Undergraduate student,10/9/2019,13:07,
2019/11/22 5:35:59 PM MST,geog,Undergraduate student,10/9/2019,13:47,16:41
2020/02/27 8:42:15 PM MST,physics,Undergraduate student,10/10/2019,12:21,13:38
2020/02/27 8:42:36 PM MST,econ,Undergraduate student,10/10/2019,13:00,18:00
2020/02/27 8:42:57 PM MST,econ,Undergraduate student,10/10/2019,13:27,13:50
2020/02/27 8:43:06 PM MST,geog,Undergraduate student,10/10/2019,13:50,
2020/02/27 8:43:19 PM MST,econ,Undergraduate student,10/10/2019,14:12,15:26
2020/02/27 8:43:36 PM MST,engineering,Undergraduate student,10/10/2019,14:31,
2020/02/27 8:43:49 PM MST,econ,Undergraduate student,10/10/2019,14:35,16:35
2020/02/27 8:44:24 PM MST,computer science,Graduate student,10/10/2019,14:48,
2020/02/27 8:44:37 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,14:49,
2020/02/27 8:44:54 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,14:46,19:02
2020/02/27 8:45:09 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,15:25,18:45
2020/02/27 8:45:23 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,18:30,19:40
2020/02/27 8:45:53 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,18:20,
2020/02/27 8:46:04 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,18:30,
2020/02/27 8:46:13 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,18:30,
2020/02/27 8:46:25 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,18:30,
2020/02/27 8:46:34 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,18:30,
2020/02/27 8:46:52 PM MST,econ,Undergraduate student,10/10/2019,17:00,
2020/02/27 8:47:05 PM MST,computer science,Undergraduate student,10/10/2019,17:00,20:00
2020/02/27 8:47:19 PM MST,geog,Undergraduate student,10/10/2019,17:00,17:18
2020/02/27 8:47:30 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,17:40,
2020/02/27 8:47:45 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,17:50,19:10
2020/02/27 8:47:59 PM MST,pstat / stats / actuarial,Undergraduate student,10/10/2019,18:00,
2020/02/27 8:48:21 PM MST,pstat / stats / actuarial,Undergraduate student,10/11/2019,9:00,9:30
2020/02/27 8:48:34 PM MST,pstat / stats / actuarial,Undergraduate student,10/11/2019,9:00,
2020/02/27 8:48:48 PM MST,econ,Graduate student,10/11/2019,9:45,10:20
2020/02/27 8:49:03 PM MST,computer science,Graduate student,10/11/2019,10:11,
2020/02/27 8:49:15 PM MST,pstat / stats / actuarial,Undergraduate student,10/11/2019,10:30,
2020/02/27 8:49:26 PM MST,pstat / stats / actuarial,Undergraduate student,10/11/2019,10:30,
2020/02/27 8:49:56 PM MST,pstat / stats / actuarial,Undergraduate student,10/11/2019,10:30,11:00
2020/02/27 8:50:08 PM MST,computer science,Undergraduate student,10/11/2019,9:00,10:55
2020/02/27 8:50:23 PM MST,pstat / stats / actuarial,Undergraduate student,10/11/2019,9:10,10:58
2020/02/27 8:50:42 PM MST,econ,Undergraduate student,10/11/2019,12:00,13:23
2020/02/27 8:50:55 PM MST,econ,Undergraduate student,10/11/2019,12:00,13:20
2020/02/27 8:51:11 PM MST,psychology,Undergraduate student,10/11/2019,12:30,
2020/02/27 8:51:34 PM MST,econ,Undergraduate student,10/11/2019,14:05,16:00
2020/02/27 8:51:49 PM MST,econ,Undergraduate student,10/11/2019,14:05,14:35
2020/02/27 8:52:02 PM MST,econ,Undergraduate student,10/11/2019,14:05,14:35
2020/02/27 8:52:15 PM MST,computer science,Undergraduate student,10/11/2019,14:40,17:00
2020/02/27 8:52:41 PM MST,pstat / stats / actuarial,Undergraduate student,10/11/2019,14:45,16:25
2020/02/27 8:52:54 PM MST,pstat / stats / actuarial,Undergraduate student,10/12/2019,12:40,15:30
2020/02/27 8:53:08 PM MST,bren / environmental studies,Undergraduate student,10/12/2019,12:46,16:20
2020/02/27 8:53:22 PM MST,pstat / stats / actuarial,Undergraduate student,10/12/2019,13:00,20:00
2020/02/27 8:53:37 PM MST,engineering,Undergraduate student,10/12/2019,13:00,
2020/02/27 8:53:51 PM MST,econ,Undergraduate student,10/12/2019,14:30,
2020/02/27 8:54:02 PM MST,econ,Undergraduate student,10/12/2019,14:30,
2020/02/27 8:54:17 PM MST,econ,Undergraduate student,10/12/2019,15:00,
2020/02/27 8:54:29 PM MST,poli sci,Undergraduate student,10/12/2019,16:00,
2020/02/27 8:54:42 PM MST,physics,Undergraduate student,10/13/2019,12:00,
2020/02/27 8:54:52 PM MST,engineering,Undergraduate student,10/13/2019,13:00,
2020/02/27 8:55:56 PM MST,computer science,Graduate student,10/13/2019,15:00,18:35
2020/02/27 8:56:10 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,15:00,18:35
2020/02/27 8:56:25 PM MST,sociology,Graduate student,10/13/2019,14:10,14:15
2020/02/27 8:56:38 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,14:25,
2020/02/27 8:56:55 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,14:45,
2020/02/27 8:57:10 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,14:50,
2020/02/27 8:57:24 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,15:00,17:15
2020/02/27 8:57:41 PM MST,psychology,Undergraduate student,10/13/2019,15:05,
2020/02/27 8:58:16 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,15:00,17:54
2020/02/27 8:58:30 PM MST,econ,Undergraduate student,10/13/2019,15:00,18:00
2020/02/27 8:58:42 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,15:00,
2020/02/27 8:58:58 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,15:37,18:34
2020/02/27 8:59:08 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,16:00,
2020/02/27 8:59:22 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,16:00,17:00
2020/02/27 8:59:31 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,16:45,
2020/02/27 8:59:43 PM MST,pstat / stats / actuarial,Undergraduate student,10/13/2019,17:00,19:00
2020/02/27 8:59:59 PM MST,econ,Undergraduate student,10/13/2019,18:35,19:55
2020/02/27 9:00:10 PM MST,computer science,Undergraduate student,10/13/2019,19:10,
2020/02/27 9:00:18 PM MST,computer science,Undergraduate student,10/13/2019,19:10,
2019/11/23 2:42:34 PM MST,econ,Undergraduate student,10/14/2019,17:00,20:00
2019/11/23 2:42:55 PM MST,pstat / stats / actuarial,Undergraduate student,10/14/2019,17:00,20:00
2019/11/23 2:43:13 PM MST,geog,Undergraduate student,10/14/2019,17:04,18:29
2019/11/23 2:44:02 PM MST,pstat / stats / actuarial,Undergraduate student,10/14/2019,17:30,20:00
2019/11/23 2:44:21 PM MST,econ,Undergraduate student,10/14/2019,17:43,19:40
2019/11/23 2:44:47 PM MST,econ,Undergraduate student,10/14/2019,18:18,20:00
2019/11/23 2:45:15 PM MST,poli sci,Undergraduate student,10/14/2019,18:45,19:40
2019/11/23 2:45:42 PM MST,pstat / stats / actuarial,Undergraduate student,10/14/2019,18:45,19:15
2020/02/27 9:00:36 PM MST,econ,Undergraduate student,10/14/2019,12:05,16:40
2020/02/27 9:00:46 PM MST,econ,Undergraduate student,10/14/2019,12:30,
2020/02/27 9:01:03 PM MST,communication,Undergraduate student,10/14/2019,12:40,
2020/02/27 9:01:12 PM MST,math,Undergraduate student,10/14/2019,12:40,
2020/02/27 9:01:24 PM MST,geog,Graduate student,10/14/2019,13:05,
2020/02/27 9:01:33 PM MST,pstat / stats / actuarial,Undergraduate student,10/14/2019,13:55,
2020/02/27 9:01:45 PM MST,biology/eemb/mcdb,Undergraduate student,10/14/2019,15:00,17:25
2020/02/27 9:01:57 PM MST,biology/eemb/mcdb,Undergraduate student,10/14/2019,15:00,17:25
2020/02/27 9:02:10 PM MST,econ,Undergraduate student,10/14/2019,15:40,15:45
2020/02/27 9:02:22 PM MST,pstat / stats / actuarial,Undergraduate student,10/14/2019,16:30,
2020/02/27 9:02:32 PM MST,ece,Undergraduate student,10/14/2019,16:50,
2020/02/27 9:02:41 PM MST,econ,Undergraduate student,10/14/2019,17:00,
2019/11/23 2:46:14 PM MST,geog,Graduate student,10/15/2019,12:35,
2019/11/23 2:46:34 PM MST,econ,Undergraduate student,10/15/2019,12:00,18:00
2019/11/23 2:46:57 PM MST,econ,Undergraduate student,10/15/2019,13:00,13:48
2019/11/23 2:47:25 PM MST,econ,Undergraduate student,10/15/2019,13:15,13:51
2019/11/23 2:47:57 PM MST,computer science,Graduate student,10/15/2019,13:58,14:20
2019/11/23 2:48:23 PM MST,pstat / stats / actuarial,Graduate student,10/15/2019,14:02,14:07
2019/11/23 2:48:46 PM MST,math,Undergraduate student,10/15/2019,14:22,15:17
2019/11/23 2:49:20 PM MST,anth,Undergraduate student,10/15/2019,14:22,15:17
2019/11/23 2:49:40 PM MST,math,Undergraduate student,10/15/2019,14:29,15:46
2019/11/23 2:50:02 PM MST,bren / environmental studies,Undergraduate student,10/15/2019,14:30,
2019/11/23 2:50:27 PM MST,biology/eemb/mcdb,Graduate student,10/15/2019,16:03,
2019/11/23 2:57:38 PM MST,anth,Undergraduate student,10/15/2019,16:03,16:45
2019/11/23 2:58:18 PM MST,geog,Undergraduate student,10/15/2019,16:10,17:00
2019/11/23 2:58:34 PM MST,econ,Undergraduate student,10/15/2019,16:45,
2019/11/23 2:58:52 PM MST,econ,Undergraduate student,10/15/2019,16:43,
2019/11/23 2:59:04 PM MST,econ,Undergraduate student,10/15/2019,16:45,
2019/11/23 2:59:32 PM MST,bren / environmental studies,Undergraduate student,10/15/2019,17:00,
2019/11/23 2:59:49 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,19:15
2019/11/23 3:00:12 PM MST,pstat / stats / actuarial,Undergraduate student,10/15/2019,17:30,18:20
2019/11/23 3:07:50 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,18:30
2019/11/23 3:14:31 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:30,19:10
2019/11/23 3:14:53 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:30,18:56
2019/11/23 3:15:36 PM MST,bren / environmental studies,Faculty,10/15/2019,17:00,19:00
2019/11/23 3:16:16 PM MST,bren / environmental studies,Graduate student,10/15/2019,16:30,19:10
2019/11/23 3:16:57 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,19:10
2019/11/23 3:17:18 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,19:10
2019/11/23 3:17:43 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,19:10
2019/11/23 3:18:04 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,19:10
2019/11/23 3:18:42 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,19:10
2019/11/23 3:19:18 PM MST,bren / environmental studies,Graduate student,10/15/2019,17:00,19:10
