record_date,department,student_type,date,time_in,time_out
2020/01/06 4:04:02 PM MST,bren / environmental studies,Undergraduate student,1/4/2020,17:00,
2020/01/06 4:04:23 PM MST,bren / environmental studies,Undergraduate student,1/4/2020,17:40,
2020/01/06 4:04:59 PM MST,geog,Undergraduate student,1/4/2020,17:00,
2020/01/29 1:32:34 PM MST,math,Undergraduate student,1/6/2020,17:00,19:05
2020/01/29 1:33:04 PM MST,history of art/architecture,Graduate student,1/6/2020,18:10,15:15
2020/01/29 1:33:23 PM MST,pstat / stats / actuarial,Graduate student,1/6/2020,14:00,
2020/01/29 1:33:44 PM MST,physics,Undergraduate student,1/7/2020,14:51,14:57
2020/01/29 1:34:25 PM MST,earth sciences,Undergraduate student,1/7/2020,14:55,
2020/01/29 1:35:08 PM MST,math,Undergraduate student,1/7/2020,14:05,
2020/01/29 1:35:21 PM MST,econ,Undergraduate student,1/7/2020,15:00,12:20
2020/01/29 1:35:56 PM MST,psychology,Graduate student,1/9/2020,10:30,11:30
2020/01/29 1:36:21 PM MST,psychology,Graduate student,1/9/2020,10:30,13:40
2020/01/29 1:36:39 PM MST,earth sciences,Undergraduate student,1/9/2020,13:00,15:25
2020/01/29 1:37:06 PM MST,biology/eemb/mcdb,Graduate student,1/9/2020,14:00,14:03
2020/01/29 1:37:32 PM MST,global,Graduate student,1/9/2020,14:00,15:25
2020/01/29 1:37:45 PM MST,pstat / stats / actuarial,Graduate student,1/9/2020,14:02,15:25
2020/01/29 1:38:02 PM MST,pstat / stats / actuarial,Graduate student,1/9/2020,14:02,17:52
2020/01/29 1:38:53 PM MST,ece,Graduate student,1/9/2020,14:47,
2020/01/29 1:39:20 PM MST,geog,Graduate student,1/10/2020,12:00,13:45
2020/01/29 1:39:34 PM MST,linguistics,Graduate student,1/10/2020,12:39,
2020/01/29 1:39:55 PM MST,math,Undergraduate student,1/10/2020,13:00,
2020/01/29 1:40:12 PM MST,sociology,Undergraduate student,1/11/2020,12:00,16:05
2020/01/29 1:41:33 PM MST,physics,Undergraduate student,1/11/2020,13:42,16:25
2020/01/29 1:41:55 PM MST,math,Undergraduate student,1/11/2020,15:35,
2020/01/29 1:42:12 PM MST,geog,Undergraduate student,1/12/2020,12:12,15:15
